shopee,NIL,Under Armour,Under Armour UA Women's Charged Aurora 2 Training Shoes,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$99.00,7,https://shopee.sg/Under-Armour-UA-Women's-Charged-Aurora-2-Training-Shoes-i.252648730.17910095359?sp_atk=2a43face-060f-4775-81e3-b84265a1b007&xptdk=2a43face-060f-4775-81e3-b84265a1b007,https://down-sg.img.susercontent.com/file/sg-11134207-7qvep-lk0jzszmh7py36,"UNDER ARMOUR MAKES YOU FEEL BETTER
Product DNA:
Built to max out your more reps, with mid-foot reinforcement that locks in and stabilizes your foot in every direction, breathable materials, and cushioning to absorb impact.

-Built specifically for the female foot with a streamlined fit ​
-Lightweight, breathable upper keeps you cool & dry
-Strategic TPU overlays for medial stability, lockdown fit & added durability
-Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability
-Full rubber outsole for maximum durability with multidirectional traction pattern
-Style #: 3025060
-Offset: 6mm
-Weight: 7.8 oz.
-Imported
-Material code : 3025060-001
-Fit Type : Regular
-Gender : Women
-Division : Footwear
-Type : Sneakers
-CHARGED AURORA 2
-Season : SS22",08-08-2023
shopee,NIL,Under Armour,Under Armour UA Women's Ignite IX Slides,"10%OFF, 10%OFF, 12%OFF",$49.00,$29.40 - $49.00,6,https://shopee.sg/Under-Armour-UA-Women's-Ignite-IX-Slides-i.252648730.6336080928?sp_atk=61c35f62-aec9-40bd-8f5b-d6efd9102d40&xptdk=61c35f62-aec9-40bd-8f5b-d6efd9102d40,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfp-lk0j3ahddg0m23,"UNDER ARMOUR MAKES YOU BETTER 
Under Armour inspires you with performance solutions you never knew you needed and can't imagine living without.-Adjustable synthetic strap with soft foam underneath for added comfort
-Footbed built with two layers of Performance 4D Foam® for unprecedented comfort
-Anatomical contours provide additional cushioning
-Re-engineered EVA outsole built with durable traction pods in heel for lightweight cushioning & comfort
-Imported
-Material code : 3022717-001
-Fit Type : Regular
-Gender : Women
-Division : Footwear
-Type : Sandals
-Purpose of Thesaurus : LIFESTYLE - SLIDES
-Season : NOS
#Under #Armour #Women's #Ignite #IX #Slides",08-08-2023
shopee,NIL,Under Armour,Under Armour UA Women's Charged Breeze Running Shoes,"12%OFF, 10%OFF, 10%OFF",$129.00,$77.40 - $129.00,5,https://shopee.sg/Under-Armour-UA-Women's-Charged-Breeze-Running-Shoes-i.252648730.16570721572?sp_atk=bc1d4115-8787-4801-812f-f326daddfc67&xptdk=bc1d4115-8787-4801-812f-f326daddfc67,https://down-sg.img.susercontent.com/file/sg-11134201-7qvg9-lk0ixe8k09d708,"UNDER ARMOUR MAKES YOU FEEL BETTER
Lightweight, breathable mesh upper for increased ventilation

PRODUCT DNA
-Internal bootie design for a close-to-the-foot fit & feel 
-Molded sockliner​ forms to the foot, eliminating slippage & providing ideal underfoot comfort 
-Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability​ 
-Solid rubber outsole with strategically placed pods for added durability in high-abrasion areas​ 
-Style #: 3025130 
-Offset: 8mm 
-Weight: 7 oz​. 
-Imported 
-NEUTRAL: For runners who need a balance of flexibility & cushioning 
-Material code : 3025130
-001 
-Fit Type : Regular 
-Gender : Women 
-Division : Footwear 
-Type : Sneakers 
-CHARGED BREEZE 
-Season : SS22 / Feb Launch",08-08-2023
shopee,NIL,Under Armour,Under Armour UA Women's Charged Impulse 3 Running Shoes,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$99.00,4,https://shopee.sg/Under-Armour-UA-Women's-Charged-Impulse-3-Running-Shoes-i.252648730.18956556308?sp_atk=727d97cc-e5a9-45a2-864d-361fa9745c7a&xptdk=727d97cc-e5a9-45a2-864d-361fa9745c7a,https://down-sg.img.susercontent.com/file/sg-11134201-7qvcr-lk0ivfkhdslhf7,"UNDER ARMOUR MAKES YOU BETTER 
The super-lightweight and flexible running shoes that're ready for anything. The Charged Cushioning® protects your feet for long runs and the engineered mesh materials keep your feet ventilated.

Product DNA:
- Material code : 3025427-001
- Fit Type : Regular
- Gender : Women
- Division : Footwear
- Type : Sneakers
- CHARGED IMPULSE 3
- Season : FW22",08-08-2023
shopee,NIL,Under Armour,Under Armour UA Women's Charged Escape 4 Running Shoes,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$129.00,4,https://shopee.sg/Under-Armour-UA-Women's-Charged-Escape-4-Running-Shoes-i.252648730.19156555763?sp_atk=2bc324ad-bccc-4523-ad18-f5989c624913&xptdk=2bc324ad-bccc-4523-ad18-f5989c624913,https://down-sg.img.susercontent.com/file/sg-11134201-7qvei-lk0iq7vo1kt3fa,"UNDER ARMOUR MAKES YOU BETTER 
 Impact-absorbing, soft Charged Cushioning®, lightweight materials, and enhanced breathability. Everything you need in your go-to running shoes.

Product DNA:
- Material code : 3025426-002
- Fit Type : Regular
- Gender : Women
- Division : Footwear
- Type : Sneakers
- CHARGED ESCAPE 4
- Season : FW22",08-08-2023
shopee,NIL,Under Armour,Under Armour UA Women's Ansa Fixed Slides,"10%OFF, 10%OFF, 12%OFF",$35.00,$26.25 - $35.00,4,https://shopee.sg/Under-Armour-UA-Women's-Ansa-Fixed-Slides-i.252648730.6849594827?sp_atk=ef051dd3-c88a-4b7a-a772-ff78de4c02ce&xptdk=ef051dd3-c88a-4b7a-a772-ff78de4c02ce,https://down-sg.img.susercontent.com/file/sg-11134201-7qvdk-lk0j34ztfxrrbb,"UNDER ARMOUR MAKES YOU BETTER 

Product DNA:
- Fixed strap with added foam underneath for an extra comfortable fit
- Drop-in EVA footbed provides underfoot cushioning
- EVA outsole delivers great durability & traction
- Material code : 3023772-004
- Fit Type : Regular
- Gender : Women
- Division : Footwear
- Type : Sandals
- Purpose of Thesaurus : LIFESTYLE - SLIDES
- Season : NOS",08-08-2023
shopee,NIL,Under Armour,Under Armour UA Women's Charge Aurora 2 Training Shoes,"12%OFF, 10%OFF, 10%OFF",$99.00,$59.40,4,https://shopee.sg/Under-Armour-UA-Women's-Charge-Aurora-2-Training-Shoes-i.252648730.19857484645?sp_atk=a39de958-1657-4b27-8eb9-de6ea9c81f4a&xptdk=a39de958-1657-4b27-8eb9-de6ea9c81f4a,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfy-lk0iumek285377,"UNDER ARMOUR MAKES YOU BETTER
Built to max out your more reps, with mid-foot reinforcement that locks in and stabilizes your foot in every direction, breathable materials, and cushioning to absorb impact.

Product DNA:
- Built specifically for the female foot with a streamlined fit ​
- Lightweight, breathable upper keeps you cool & dry
- Strategic TPU overlays for medial stability, lockdown fit & added durability
- Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability
- Full rubber outsole for maximum durability with multidirectional traction pattern
- Style #: 3025060
- Offset: 6mm
- Weight: 7.8 oz.
- Imported
- Material code : 3025060-100
- Fit Type : Regular
- Gender : Women
- Division : Footwear
- Type : Sneakers
- CHARGED AURORA 2
- Season : FW22",08-08-2023
shopee,NIL,Under Armour,Under Armour UA Women's Ignite VI Graphic Strap Slides,"10%OFF, 10%OFF, 12%OFF",$49.00,$29.40,4,https://shopee.sg/Under-Armour-UA-Women's-Ignite-VI-Graphic-Strap-Slides-i.252648730.13105437125?sp_atk=50ccb0cd-bcbb-4219-aea4-e9a8ee6cc406&xptdk=50ccb0cd-bcbb-4219-aea4-e9a8ee6cc406,https://down-sg.img.susercontent.com/file/sg-11134201-7qvet-lk0izuxw76yt22,"UNDER ARMOUR MAKES YOU FEEL BETTER
 -Adjustable synthetic strap with soft foam underneath for added comfort
 -Footbed built with two layers of Performance 4D Foam® for unprecedented comfort
 -Anatomical contours provide additional cushioning
 -Re-engineered EVA outsole built with durable traction pods in heel for lightweight cushioning & comfort
 -Sublimated graphic across strapImported
 -Material code : 3024453-001
 -Fit Type : Regular
 -Gender : Women
 -Division : Footwear
 -Type : Sandals
 -LIFESTYLE -SLIDES
 -Season : FW21",08-08-2023
shopee,NIL,Under Armour,Under Armour UA Women's Charged Breeze Running Shoe,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$129.00,3,https://shopee.sg/Under-Armour-UA-Women's-Charged-Breeze-Running-Shoe-i.252648730.19867105861?sp_atk=c7fd0d39-ea1f-444b-b806-cb918284e911&xptdk=c7fd0d39-ea1f-444b-b806-cb918284e911,https://down-sg.img.susercontent.com/file/sg-11134201-7qvdp-livgnan8rw993c,"UNDER ARMOUR MAKES YOU BETTER If you're looking for a lightweight, extremely breathable running shoe that's as responsive as it is durable—you found it.
Product DNA:- Lightweight, breathable mesh upper for increased ventilation- Internal bootie design for a close-to-the-foot fit & feel- Molded sockliner​ forms to the foot, eliminating slippage & providing ideal underfoot comfort- Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability​- Material code : 3025130-100- Fit Type : Regular- Gender : Women- Division : Footwear- Type : Sneakers",08-08-2023
shopee,NIL,Under Armour,Under Armour UA Women's Marbella VII Sandals,"10%OFF, 10%OFF, 12%OFF",$49.00,$29.40,3,https://shopee.sg/Under-Armour-UA-Women's-Marbella-VII-Sandals-i.252648730.5749213500?sp_atk=45c7eba3-e271-4cb8-87fc-fc2782d50f50&xptdk=45c7eba3-e271-4cb8-87fc-fc2782d50f50,https://down-sg.img.susercontent.com/file/sg-11134201-7qver-lk0j3giclbx342,"UNDER ARMOUR MAKES YOU BETTER

Product DNA:
 - Performance synthetic strap with soft foam lining for a comfortable fit
 - Footbed built with two layers of performance 4D Foam® for unprecedented comfort
 - Anatomical contours provide additional cushioning
 - Sculpted EVA outsole with updated traction pattern provides lightweight comfort & traction
 - Material code : 3022723 - 001
 - Fit Type : Regular
 - Gender : Women
 - Division : Footwear
 - Type : Sandals
 - Purpose of Thesaurus : LIFESTYLE - SLIDES
 - Season : SS20
#Under#Armour#Women's#Marbella#VII#Sandals",08-08-2023
